 0 87 14 82 57  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
87  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
14  0  0  0  0 68  0  0  0  0  0  0  0  0  0  0  0  0  0  0
82  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
57  0  0  0  0  0 19 18  0  0  0  0  0  0  0  0  0  0  0  0
 0  0 68  0  0  0  0  0 38 47 91  0  0  0  0  0  0  0  0  0
 0  0  0  0 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 18  0  0  0  0  0  0 77  6 75 73  0  0  0  0  0
 0  0  0  0  0 38  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0 47  0  0  0  0  0  0  0  0  0 52 51 93 84 40
 0  0  0  0  0 91  0  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0 77  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  6  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0 75  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0 73  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0 52  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0 51  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0 93  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0 84  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  0  0 40  0  0  0  0  0  0  0  0  0  0

