 0 12 86 68  0  0  0  0  0  0  0  0  0  0  0
12  0  0  0 69 34 35  0  0  0  0  0  0  0  0
86  0  0  0  0  0  0 19  0  0  0  0  0  0  0
68  0  0  0  0  0  0  0  2 21 88  0  0  0  0
 0 69  0  0  0  0  0  0  0  0  0 79  3 40  0
 0 34  0  0  0  0  0  0  0  0  0  0  0  0  0
 0 35  0  0  0  0  0  0  0  0  0  0  0  0 77
 0  0 19  0  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  2  0  0  0  0  0  0  0  0  0  0  0
 0  0  0 21  0  0  0  0  0  0  0  0  0  0  0
 0  0  0 88  0  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 79  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  3  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 40  0  0  0  0  0  0  0  0  0  0
 0  0  0  0  0  0 77  0  0  0  0  0  0  0  0



