 0 71 40  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0
71  0  0  7  0  0  0  0  0  0  0  0  0  0  0  0  0  0
40  0  0  0 27  0  0  0  0  0  0  0  0  0  0  0  0  0
 0  7  0  0  0 26  0  0  0  0  0  0  0  0  0  0  0  0
 0  0 27  0  0  0 74  0  0  0  0  0  0  0  0  0  0  0
 0  0  0 26  0  0  0 20  0  0  0  0  0  0  0  0  0  0
 0  0  0  0 74  0  0  0 26  0  0  0  0  0  0  0  0  0
 0  0  0  0  0 20  0  0  0  1  0  0  0  0  0  0  0  0
 0  0  0  0  0  0 26  0  0  0 65  0  0  0  0  0  0  0
 0  0  0  0  0  0  0  1  0  0  0 87  0  0  0  0  0  0
 0  0  0  0  0  0  0  0 65  0  0  0 33  0  0  0  0  0
 0  0  0  0  0  0  0  0  0 87  0  0  0 10  0  0  0  0
 0  0  0  0  0  0  0  0  0  0 33  0  0  0 99  0  0  0
 0  0  0  0  0  0  0  0  0  0  0 10  0  0  0 77  0  0
 0  0  0  0  0  0  0  0  0  0  0  0 99  0  0  0 30  0
 0  0  0  0  0  0  0  0  0  0  0  0  0 77  0  0  0 74
 0  0  0  0  0  0  0  0  0  0  0  0  0  0 30  0  0  0
 0  0  0  0  0  0  0  0  0  0  0  0  0  0  0 74  0  0
